Regular Timestamp,Timestamp (Number),Distance (cm)
12:27:11.580,44831.58,278.1
12:27:11.615,44831.615,278.05
12:27:11.650,44831.65,277.61
12:27:11.685,44831.685,277.97
12:27:11.721,44831.721,277.49
12:27:11.755,44831.756,277.83
12:27:11.791,44831.791,277.8
12:27:11.826,44831.827,278.21
12:27:11.862,44831.862,278.96
12:27:11.897,44831.897,278.48
12:27:11.932,44831.932,278.0
12:27:11.968,44831.968,277.9
12:27:12.003,44832.003,276.96
12:27:12.038,44832.038,277.26
12:27:12.073,44832.073,276.73
12:27:12.109,44832.109,276.65
12:27:12.144,44832.144,276.51
12:27:12.179,44832.179,277.37
12:27:12.214,44832.214,276.53
12:27:12.249,44832.249,276.56
12:27:12.285,44832.285,277.78
12:27:12.320,44832.32,277.37
12:27:12.355,44832.356,276.96
12:27:12.391,44832.391,276.49
12:27:12.426,44832.426,276.87
12:27:12.461,44832.461,276.89
12:27:12.496,44832.496,278.17
12:27:12.531,44832.531,276.37
12:27:12.567,44832.567,277.62
12:27:12.602,44832.602,276.78
12:27:12.637,44832.637,276.34
12:27:12.672,44832.672,276.24
12:27:12.708,44832.708,276.15
12:27:12.743,44832.743,277.44
12:27:12.779,44832.779,276.08
12:27:12.813,44832.814,276.03
12:27:12.848,44832.849,276.82
12:27:12.884,44832.884,276.8
12:27:12.919,44832.919,275.86
12:27:12.954,44832.954,277.13
12:27:12.989,44832.989,276.22
12:27:13.024,44833.025,275.65
12:27:13.060,44833.06,276.94
12:27:13.095,44833.095,275.6
12:27:13.130,44833.13,275.94
12:27:13.165,44833.166,275.94
12:27:13.201,44833.201,275.86
12:27:13.236,44833.236,276.29
12:27:13.271,44833.271,275.34
12:27:13.308,44833.308,275.33
12:27:13.341,44833.341,276.61
12:27:13.377,44833.377,275.7
12:27:13.412,44833.412,276.53
12:27:13.447,44833.447,274.81
12:27:13.482,44833.482,276.89
12:27:13.517,44833.517,274.64
12:27:13.552,44833.552,274.98
12:27:13.587,44833.588,275.82
12:27:13.623,44833.623,276.49
12:27:13.658,44833.658,276.01
12:27:13.693,44833.693,274.62
12:27:13.728,44833.728,274.97
12:27:13.763,44833.763,274.49
12:27:13.799,44833.799,275.67
12:27:13.834,44833.834,275.58
12:27:13.869,44833.869,275.14
12:27:13.904,44833.904,275.02
12:27:13.939,44833.939,275.43
12:27:13.974,44833.975,274.02
12:27:14.009,44834.009,273.95
12:27:14.044,44834.045,274.69
12:27:14.079,44834.08,273.32
12:27:14.114,44834.115,275.34
12:27:14.150,44834.15,274.76
12:27:14.185,44834.185,273.34
12:27:14.220,44834.22,272.79
12:27:14.255,44834.255,273.06
12:27:14.290,44834.29,272.89
12:27:14.325,44834.326,273.68
12:27:14.360,44834.36,272.32
12:27:14.395,44834.395,272.6
12:27:14.430,44834.43,272.48
12:27:14.465,44834.465,272.44
12:27:14.500,44834.5,272.34
12:27:14.535,44834.535,273.49
12:27:14.570,44834.57,272.08
12:27:14.605,44834.605,271.98
12:27:14.640,44834.64,271.38
12:27:14.675,44834.675,272.07
12:27:14.710,44834.71,271.93
12:27:14.744,44834.744,270.87
12:27:14.780,44834.78,271.52
12:27:14.814,44834.814,270.92
12:27:14.849,44834.849,272.48
12:27:14.884,44834.884,270.13
12:27:14.919,44834.919,270.42
12:27:14.954,44834.954,269.84
12:27:14.988,44834.989,270.52
12:27:15.023,44835.024,269.46
12:27:15.059,44835.059,269.29
12:27:15.093,44835.093,269.22
12:27:15.128,44835.128,269.13
12:27:15.163,44835.163,269.36
12:27:15.198,44835.198,268.79
12:27:15.232,44835.232,268.6
12:27:15.267,44835.267,268.38
12:27:15.302,44835.302,269.56
12:27:15.337,44835.337,268.48
12:27:15.371,44835.371,269.07
12:27:15.406,44835.406,268.88
12:27:15.441,44835.441,267.45
12:27:15.476,44835.476,268.5
12:27:15.510,44835.51,267.88
12:27:15.545,44835.545,266.97
12:27:15.580,44835.58,268.57
12:27:15.615,44835.615,266.67
12:27:15.650,44835.65,266.97
12:27:15.684,44835.684,266.58
12:27:15.719,44835.719,267.33
12:27:15.753,44835.754,266.41
12:27:15.788,44835.788,267.71
12:27:15.823,44835.823,266.36
12:27:15.857,44835.857,266.32
12:27:15.892,44835.892,266.22
12:27:15.926,44835.926,266.61
12:27:15.961,44835.961,266.19
12:27:15.995,44835.996,267.33
12:27:16.030,44836.03,267.27
12:27:16.065,44836.065,266.46
12:27:16.099,44836.1,266.32
12:27:16.134,44836.134,266.25
12:27:16.168,44836.169,266.99
12:27:16.203,44836.204,265.69
12:27:16.238,44836.238,266.05
12:27:16.272,44836.272,265.89
12:27:16.307,44836.307,267.18
12:27:16.341,44836.342,265.7
12:27:16.376,44836.376,265.21
12:27:16.411,44836.411,265.55
12:27:16.445,44836.445,264.95
12:27:16.480,44836.48,264.81
